head_entity_text,tail_entity_text,relation
audits,waste,"Message-Topic (e1, e2)"
company,chairs,"Product-Producer (e2, e1)"
master,stick,"Instrument-Agency (e2, e1)"
body,reservoir,"Entity-Destination (e1, e2)"
influenza,virus,"Cause-Effect (e2, e1)"
ear,elephant,"Component-Whole (e2, e1)"
lie,parents,"Entity-Origin (e2, e1)"
hookup,users,"Member-Collection (e2, e1)"
room,house,"Component-Whole (e2, e1)"
thesis,clinical characteristics,"Message-Topic (e1, e2)"
survivors,houses,"Entity-Destination (e1, e2)"
kimchi,maker,"Product-Producer (e1, e2)"
names,space,"Entity-Destination (e1, e2)"
landscape,company,Other
gift,friend,"Entity-Origin (e2, e1)"
young,nest,"Entity-Origin (e2, e1)"
actress,airport,"Entity-Destination (e1, e2)"
filesharing,internet,Other
zoo,beasts,"Content-Container (e1, e2)"
song,musician,Other
outline,spirituality,"Message-Topic (e1, e2)"
bomb,suitcase,"Content-Container (e2, e1)"
software,company,Other
captain,crew,"Member-Collection (e1, e2)"
sesame,oil,"Entity-Origin (e1, e2)"
housing,developer,Other
effect,way,Other
dramas,real events,"Message-Topic (e1, e2)"
drawings,museums,"Content-Container (e2, e1)"
cultures,epochs,"Entity-Origin (e2, e1)"
viruses,infections,"Cause-Effect (e1, e2)"
pieces,stories,"Message-Topic (e1, e2)"
steps,stairs,"Component-Whole (e2, e1)"
blisters,herpes simplex virus,"Cause-Effect (e2, e1)"
luff,sail,"Component-Whole (e2, e1)"
circuit,converter,"Component-Whole (e1, e2)"
camp,champions,"Member-Collection (e2, e1)"
cartridge,ink,"Content-Container (e1, e2)"
pod,whales,"Member-Collection (e2, e1)"
Roundworms,parasite,"Cause-Effect (e2, e1)"
subject,implication,"Entity-Origin (e1, e2)"
cat,paw,"Component-Whole (e1, e2)"
treaty,rule,"Message-Topic (e1, e2)"
oil,ocean,"Entity-Destination (e1, e2)"
talent,village,"Entity-Origin (e2, e1)"
coins,plastic case,"Content-Container (e2, e1)"
space,drawer,"Component-Whole (e2, e1)"
bottle,container,"Content-Container (e2, e1)"
News programs,violence,"Message-Topic (e1, e2)"
narrative,interplay,"Component-Whole (e1, e2)"
acid,eyes,"Entity-Destination (e1, e2)"
room,canvases,"Content-Container (e1, e2)"
gulp,magpies,"Member-Collection (e2, e1)"
convocation,scholars,"Member-Collection (e2, e1)"
murders,conviction,Other
monkeys,enclosure,"Entity-Origin (e1, e2)"
opinions,blog,"Content-Container (e1, e2)"
vibrations,movement,"Cause-Effect (e1, e2)"
diamond,colliers,Other
door,lock,Other
wine,Red grape,"Entity-Origin (e2, e1)"
transcript,scribe,"Product-Producer (e1, e2)"
witch,magic,"Instrument-Agency (e2, e1)"
committee,organisation,"Component-Whole (e1, e2)"
clock,presentations,"Content-Container (e1, e2)"
features,family,"Product-Producer (e1, e2)"
method,combination,Other
head,statue,"Component-Whole (e1, e2)"
article,use,"Message-Topic (e1, e2)"
comments,readers,"Product-Producer (e1, e2)"
president,university,"Member-Collection (e1, e2)"
grapes,wine,"Entity-Origin (e1, e2)"
slide,crew,"Cause-Effect (e2, e1)"
inspector,yard,"Entity-Origin (e1, e2)"
regulations,force,Other
questions,press,"Entity-Origin (e1, e2)"
children,exile,"Entity-Destination (e1, e2)"
father,bar,"Instrument-Agency (e2, e1)"
rebound,net,"Entity-Destination (e1, e2)"
application,student,"Product-Producer (e1, e2)"
bar,seats,"Component-Whole (e1, e2)"
back,chair,"Component-Whole (e1, e2)"
fatigue,pain,"Cause-Effect (e1, e2)"
claw,hammer,"Component-Whole (e1, e2)"
magazine,sport,"Message-Topic (e1, e2)"
cartomancers,cards,"Instrument-Agency (e2, e1)"
films,mental illness,"Message-Topic (e1, e2)"
