head_entity_text,tail_entity_text,relation
audits,waste,"Message-Topic (e1, e2)"
company,chairs,"Product-Producer (e2, e1)"
master,stick,"Instrument-Agency (e2, e1)"
body,reservoir,"Entity-Destination (e1, e2)"
influenza,virus,"Member-Collection (e1, e2)"
ear,elephant,"Component-Whole (e1, e2)"
lie,parents,"Entity-Origin (e2, e1)"
hookup,users,"Member-Collection (e2, e1)"
room,house,"Component-Whole (e1, e2)"
thesis,clinical characteristics,"Message-Topic (e1, e2)"
survivors,houses,"Entity-Destination (e1, e2)"
kimchi,maker,"Product-Producer (e2, e1)"
names,space,"Entity-Destination (e1, e2)"
landscape,company,"Product-Producer (e2, e1)"
gift,friend,"Entity-Origin (e1, e2)"
young,nest,"Entity-Origin (e1, e2)"
actress,airport,"Entity-Destination (e1, e2)"
filesharing,internet,"Entity-Destination (e1, e2)"
zoo,beasts,"Content-Container (e2, e1)"
song,musician,"Product-Producer (e1, e2)"
outline,spirituality,"Message-Topic (e1, e2)"
bomb,suitcase,"Content-Container (e1, e2)"
software,company,"Product-Producer (e2, e1)"
captain,crew,"Member-Collection (e1, e2)"
sesame,oil,"Product-Producer (e2, e1)"
housing,developer,"Product-Producer (e2, e1)"
effect,way,Other
dramas,real events,"Entity-Origin (e1, e2)"
drawings,museums,"Entity-Destination (e1, e2)"
cultures,epochs,"Entity-Origin (e1, e2)"
viruses,infections,"Cause-Effect (e1, e2)"
pieces,stories,"Message-Topic (e1, e2)"
steps,stairs,"Component-Whole (e1, e2)"
blisters,herpes simplex virus,"Cause-Effect (e2, e1)"
luff,sail,"Component-Whole (e1, e2)"
circuit,converter,"Component-Whole (e2, e1)"
camp,champions,"Member-Collection (e2, e1)"
cartridge,ink,"Content-Container (e1, e2)"
pod,whales,"Member-Collection (e1, e2)"
Roundworms,parasite,"Cause-Effect (e2, e1)"
subject,implication,"Entity-Origin (e1, e2)"
cat,paw,"Component-Whole (e2, e1)"
treaty,rule,"Product-Producer (e1, e2)"
oil,ocean,"Entity-Destination (e1, e2)"
talent,village,"Entity-Origin (e1, e2)"
coins,plastic case,"Content-Container (e1, e2)"
space,drawer,"Content-Container (e1, e2)"
bottle,container,"Content-Container (e1, e2)"
News programs,violence,"Message-Topic (e1, e2)"
narrative,interplay,"Component-Whole (e2, e1)"
acid,eyes,"Content-Container (e1, e2)"
room,canvases,"Content-Container (e1, e2)"
gulp,magpies,"Member-Collection (e2, e1)"
convocation,scholars,"Member-Collection (e2, e1)"
murders,conviction,"Cause-Effect (e1, e2)"
monkeys,enclosure,"Entity-Origin (e1, e2)"
opinions,blog,"Content-Container (e1, e2)"
vibrations,movement,"Cause-Effect (e1, e2)"
diamond,colliers,"Component-Whole (e1, e2)"
door,lock,"Component-Whole (e2, e1)"
Red grape,wine,"Product-Producer (e2, e1)"
transcript,scribe,"Product-Producer (e2, e1)"
witch,magic,"Instrument-Agency (e2, e1)"
committee,organisation,"Component-Whole (e1, e2)"
clock,presentations,"Content-Container (e1, e2)"
family,features,"Product-Producer (e1, e2)"
method,combination,"Component-Whole (e2, e1)"
statue,head,"Component-Whole (e2, e1)"
article,use,"Content-Container (e1, e2)"
comments,readers,"Product-Producer (e2, e1)"
president,university,"Member-Collection (e1, e2)"
wine,grapes,"Product-Producer (e2, e1)"
slide,crew,"Instrument-Agency (e2, e1)"
inspector,yard,"Entity-Origin (e1, e2)"
regulations,force,"Entity-Destination (e1, e2)"
questions,press,"Message-Topic (e2, e1)"
children,exile,"Entity-Destination (e1, e2)"
father,bar,"Instrument-Agency (e2, e1)"
rebound,net,"Entity-Destination (e1, e2)"
student,application,"Product-Producer (e1, e2)"
bar,seats,"Component-Whole (e1, e2)"
