head_entity_text,tail_entity_text,predicted_label,true_label
audits,waste,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
company,chairs,"Product-Producer (e1, e2)","Product-Producer (e2, e1)"
master,stick,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
body,reservoir,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
influenza,virus,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
ear,elephant,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
lie,parents,Other,"Product-Producer (e1, e2)"
hookup,users,Other,"Member-Collection (e2, e1)"
room,house,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
thesis,clinical characteristics,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
survivors,houses,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
kimchi,maker,"Product-Producer (e1, e2)",Other
names,space,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
landscape,company,Other,"Product-Producer (e1, e2)"
gift,friend,Other,"Entity-Origin (e1, e2)"
young,nest,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
actress,airport,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
filesharing,internet,Other,Other
zoo,beasts,"Entity-Destination (e1, e2)","Member-Collection (e2, e1)"
song,musician,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
outline,spirituality,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
bomb,suitcase,"Content-Container (e1, e2)","Content-Container (e1, e2)"
software,company,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
captain,crew,"Member-Collection (e1, e2)",Other
sesame,oil,"Component-Whole (e1, e2)","Entity-Origin (e2, e1)"
housing,developer,Other,"Product-Producer (e1, e2)"
effect,way,Other,"Cause-Effect (e2, e1)"
dramas,real events,"Message-Topic (e1, e2)",Other
drawings,museums,"Entity-Destination (e1, e2)",Other
cultures,epochs,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
viruses,infections,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
pieces,stories,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
steps,stairs,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
blisters,herpes simplex virus,"Cause-Effect (e2, e1)","Product-Producer (e1, e2)"
luff,sail,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
circuit,converter,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
camp,champions,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
cartridge,ink,"Content-Container (e2, e1)","Content-Container (e2, e1)"
pod,whales,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
Roundworms,parasite,Other,"Product-Producer (e1, e2)"
subject,implication,Other,"Cause-Effect (e1, e2)"
cat,paw,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
treaty,rule,"Message-Topic (e1, e2)","Cause-Effect (e1, e2)"
oil,ocean,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
talent,village,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
coins,plastic case,"Content-Container (e1, e2)","Content-Container (e1, e2)"
space,drawer,"Component-Whole (e1, e2)",Other
bottle,container,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
News programs,violence,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
narrative,interplay,"Component-Whole (e1, e2)",Other
acid,eyes,"Cause-Effect (e1, e2)","Entity-Destination (e1, e2)"
room,canvases,"Content-Container (e2, e1)",Other
gulp,magpies,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
convocation,scholars,"Member-Collection (e1, e2)",Other
murders,conviction,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
monkeys,enclosure,"Entity-Origin (e2, e1)","Entity-Origin (e1, e2)"
opinions,blog,"Entity-Destination (e1, e2)",Other
vibrations,movement,"Cause-Effect (e2, e1)","Cause-Effect (e1, e2)"
diamond,colliers,"Component-Whole (e1, e2)",Other
door,lock,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
Red grape,wine,"Product-Producer (e1, e2)","Entity-Origin (e2, e1)"
transcript,scribe,"Product-Producer (e2, e1)","Product-Producer (e1, e2)"
