entity,target_entity,relation,invert_relation
"Winnie, Inc.",Android,product_or_service_of,0
Marker International,Duplex,brand_of,0
Stone & Wood Brewing Co.,Lion,shareholder_of,1
Bell Canada,"Cellport Systems, Inc.",collaboration,0
Global Electronic Trading Company,GETCO,brand_of,0
Caspian Drilling Company,State Oil Company of Azerbaijan Republic,subsidiary_of,1
oeFun,Wii,product_or_service_of,0
Roja,Aalayam Productions,undefined,0
BMD Group,The Australian Financial Review,undefined,0
MidOcean Partners,Morgan Stanley,undefined,0
Time Life Television,McGraw-Hill,acquired_by,1
Lowry Solutions,Printronix,client_of,0
MidOcean Partners,Diamond Castle Holdings,undefined,0
"Rubio's Restaurants, Inc.",Orange Julius,undefined,0
Neptune Comic Distributors Ltd.,Titan Distributors,undefined,0
Webfoot Technologies Inc.,Dragon Ball Z,product_or_service_of,0
Nomad,The New York Times,undefined,0
DX Freight,London Stock Exchange,traded_on,0
Openismus,GNOME,collaboration,0
Third Federal,Bauer Financial,regulated_by,1
"Endurance International Group, Inc.",Accel-KKR,shareholder_of,1
Yale University,Phibro Animal Health Corporation,undefined,0
Foreigner,Unique Recording Studios,client_of,0
Malinche Entertainment,Android,product_or_service_of,0
Comp Air,Blue Yonder Aviation,client_of,0
Price Rite,Wakefern Food Corporation,subsidiary_of,1
Kingfisher,Entertainment UK,subsidiary_of,0
Granite Ventures,Sendmail,shareholder_of,0
UBM Aviation,UBM plc,subsidiary_of,1
Fontana North,Fontana Distribution,collaboration,0
LucidEra,Crosslink Capital,shareholder_of,1
Supermarket Direct,Somerfield,subsidiary_of,1
"Medivation, Inc.",Food and Drug Administration,regulated_by,1
Imagen Satelital S.A.,TLC,undefined,0
Rocky Mountain Construction,Tennessee Tornado,undefined,0
Salsa Cycles,Surly Bikes,undefined,0
Qintex Limited,Mirage Resorts,shareholder_of,0
Content & Co,YouTube,product_or_service_of,0
Golden Rule Insurance Company,Republican Party,collaboration,0
Pacific Gas and Electric Company,Silver Spring Networks,client_of,0
Hawk Films,Barry Lyndon,product_or_service_of,0
Anchor,iOS,product_or_service_of,0
Sycamore Partners,Kurt Geiger,subsidiary_of,1
Rebag,Gucci,brand_of,1
Tablo,Channel Master,competitor_of,0
Enerkem,Lehigh University,collaboration,1
Cinematografía Española Americana S.A.,Doctor Zhivago,client_of,1
Aker BioMarine AS,Aker ASA,subsidiary_of,0
Atlantic Productions,Five,client_of,0
XS Platinum Inc.,Tiffany & Co.,collaboration,0
CANEX,Subway,brand_of,1
